ligand_human_symbol,receptor_human_symbol,ligand_human_ensembl,receptor_human_ensembl,ligand_mouse_symbol,receptor_mouse_symbol,ligand_mouse_ensembl,receptor_mouse_ensembl,database,source
SIGLEC9,MAG,ENSG00000129450,ENSG00000105695,NA,Mag,NA,ENSMUSG00000036634,omnipath,omnipath
SIGLEC9,TNFRSF11B,ENSG00000129450,ENSG00000164761,NA,Tnfrsf11b,NA,ENSMUSG00000063727,omnipath,omnipath
SIRPA,CD69,ENSG00000198053,ENSG00000110848,Sirpa,Cd69,ENSMUSG00000037902,ENSMUSG00000030156,nichenet_verschueren,nichenet_verschueren
SIRPA,LRPAP1,ENSG00000198053,ENSG00000163956,Sirpa,Lrpap1,ENSMUSG00000037902,ENSMUSG00000029103,nichenet_verschueren,nichenet_verschueren
SIRPA,CHL1,ENSG00000198053,ENSG00000134121,Sirpa,Chl1,ENSMUSG00000037902,ENSMUSG00000030077,nichenet_verschueren,nichenet_verschueren
SIRPA,CD47,ENSG00000198053,ENSG00000196776,Sirpa,Cd47,ENSMUSG00000037902,ENSMUSG00000055447,omnipath,omnipath
SIRPA,TIGIT,ENSG00000198053,ENSG00000181847,Sirpa,Tigit,ENSMUSG00000037902,ENSMUSG00000071552,omnipath,omnipath
SIRPB2,CD47,ENSG00000196209,ENSG00000196776,NA,Cd47,NA,ENSMUSG00000055447,omnipath,omnipath
SIRPG,PTPRD,ENSG00000089012,ENSG00000153707,Sirpa,Ptprd,ENSMUSG00000037902,ENSMUSG00000028399,nichenet_verschueren,nichenet_verschueren
SIRPG,CD47,ENSG00000089012,ENSG00000196776,Sirpa,Cd47,ENSMUSG00000037902,ENSMUSG00000055447,omnipath,omnipath
SLAMF6,HAVCR1,ENSG00000162739,ENSG00000113249,Slamf6,Havcr1,ENSMUSG00000015314,ENSMUSG00000040405,omnipath,omnipath
SLAMF7,SLAMF7,ENSG00000026751,ENSG00000026751,Slamf7,Slamf7,ENSMUSG00000038179,ENSMUSG00000038179,nichenet_verschueren,nichenet_verschueren
SLC6A8,LIFR,ENSG00000130821,ENSG00000113594,Slc6a8,Lifr,ENSMUSG00000019558,ENSMUSG00000054263,omnipath,omnipath
SLIT1,GPC1,ENSG00000187122,ENSG00000063660,Slit1,Gpc1,ENSMUSG00000025020,ENSMUSG00000034220,omnipath,omnipath
SLIT1,ROBO2,ENSG00000187122,ENSG00000185008,Slit1,Robo2,ENSMUSG00000025020,ENSMUSG00000052516,omnipath,omnipath
SLIT1,ROBO1,ENSG00000187122,ENSG00000169855,Slit1,Robo1,ENSMUSG00000025020,ENSMUSG00000022883,omnipath,omnipath
SLIT1,FLRT3,ENSG00000187122,ENSG00000125848,Slit1,Flrt3,ENSMUSG00000025020,ENSMUSG00000051379,omnipath,omnipath
SLIT1,SDC1,ENSG00000187122,ENSG00000115884,Slit1,Sdc1,ENSMUSG00000025020,ENSMUSG00000020592,omnipath,omnipath
SLIT2,GPC1,ENSG00000145147,ENSG00000063660,Slit2,Gpc1,ENSMUSG00000031558,ENSMUSG00000034220,omnipath,omnipath
SLIT2,ROBO4,ENSG00000145147,ENSG00000154133,Slit2,Robo4,ENSMUSG00000031558,ENSMUSG00000032125,omnipath,omnipath
SLIT2,SDC1,ENSG00000145147,ENSG00000115884,Slit2,Sdc1,ENSMUSG00000031558,ENSMUSG00000020592,omnipath,omnipath
SLIT2,ROBO2,ENSG00000145147,ENSG00000185008,Slit2,Robo2,ENSMUSG00000031558,ENSMUSG00000052516,omnipath,omnipath
SLIT2,ROBO1,ENSG00000145147,ENSG00000169855,Slit2,Robo1,ENSMUSG00000031558,ENSMUSG00000022883,omnipath,omnipath
SLIT3,ROBO2,ENSG00000184347,ENSG00000185008,Slit3,Robo2,ENSMUSG00000056427,ENSMUSG00000052516,omnipath,omnipath
SLIT3,ROBO1,ENSG00000184347,ENSG00000169855,Slit3,Robo1,ENSMUSG00000056427,ENSMUSG00000022883,omnipath,omnipath
SLIT3,ROBO4,ENSG00000184347,ENSG00000154133,Slit3,Robo4,ENSMUSG00000056427,ENSMUSG00000032125,omnipath,omnipath
SLITRK1,ENPEP,ENSG00000178235,ENSG00000138792,Slitrk1,Enpep,ENSMUSG00000075478,ENSMUSG00000028024,nichenet_verschueren,nichenet_verschueren
SLITRK1,PTPRD,ENSG00000178235,ENSG00000153707,Slitrk1,Ptprd,ENSMUSG00000075478,ENSMUSG00000028399,omnipath,omnipath
SLITRK1,PTPRS,ENSG00000178235,ENSG00000105426,Slitrk1,Ptprs,ENSMUSG00000075478,ENSMUSG00000013236,omnipath,omnipath
SLITRK1,TNFRSF11B,ENSG00000178235,ENSG00000164761,Slitrk1,Tnfrsf11b,ENSMUSG00000075478,ENSMUSG00000063727,omnipath,omnipath
SLITRK2,PTPRD,ENSG00000185985,ENSG00000153707,Slitrk2,Ptprd,ENSMUSG00000036790,ENSMUSG00000028399,omnipath,omnipath
SLITRK2,PTPRS,ENSG00000185985,ENSG00000105426,Slitrk2,Ptprs,ENSMUSG00000036790,ENSMUSG00000013236,omnipath,omnipath
SLITRK3,PTPRD,ENSG00000121871,ENSG00000153707,Slitrk3,Ptprd,ENSMUSG00000048304,ENSMUSG00000028399,omnipath,omnipath
SLITRK3,PTPRS,ENSG00000121871,ENSG00000105426,Slitrk3,Ptprs,ENSMUSG00000048304,ENSMUSG00000013236,omnipath,omnipath
SLITRK4,PTPRD,ENSG00000179542,ENSG00000153707,Slitrk4,Ptprd,ENSMUSG00000046699,ENSMUSG00000028399,nichenet_verschueren,nichenet_verschueren
SLITRK4,PTPRS,ENSG00000179542,ENSG00000105426,Slitrk4,Ptprs,ENSMUSG00000046699,ENSMUSG00000013236,nichenet_verschueren,nichenet_verschueren
SLITRK5,PTPRD,ENSG00000165300,ENSG00000153707,Slitrk5,Ptprd,ENSMUSG00000033214,ENSMUSG00000028399,omnipath,omnipath
SLITRK6,PTPRD,ENSG00000184564,ENSG00000153707,Slitrk6,Ptprd,ENSMUSG00000045871,ENSMUSG00000028399,nichenet_verschueren,nichenet_verschueren
SLITRK6,PTPRS,ENSG00000184564,ENSG00000105426,Slitrk6,Ptprs,ENSMUSG00000045871,ENSMUSG00000013236,omnipath,omnipath
SLPI,PLSCR4,ENSG00000124107,ENSG00000114698,Slpi,Plscr4,ENSMUSG00000017002,ENSMUSG00000032377,omnipath,omnipath
SLPI,CD4,ENSG00000124107,ENSG00000010610,Slpi,Cd4,ENSMUSG00000017002,ENSMUSG00000023274,omnipath,omnipath
SLURP1,CHRNA7,ENSG00000126233,ENSG00000282088,Slurp1,NA,ENSMUSG00000022596,NA,omnipath,omnipath
SLURP1,CHRNB2,ENSG00000126233,ENSG00000160716,Slurp1,Chrnb2,ENSMUSG00000022596,ENSMUSG00000027950,omnipath,omnipath
SLURP1,CHRNB4,ENSG00000126233,ENSG00000117971,Slurp1,Chrnb4,ENSMUSG00000022596,ENSMUSG00000035200,omnipath,omnipath
SLURP1,CHRNA3,ENSG00000126233,ENSG00000080644,Slurp1,Chrna3,ENSMUSG00000022596,ENSMUSG00000032303,omnipath,omnipath
SLURP1,CHRNA4,ENSG00000126233,ENSG00000101204,Slurp1,Chrna4,ENSMUSG00000022596,ENSMUSG00000027577,omnipath,omnipath
SLURP1,CHRNA9,ENSG00000126233,ENSG00000174343,Slurp1,Chrna9,ENSMUSG00000022596,ENSMUSG00000029205,omnipath,omnipath
SLURP1,CHRNA10,ENSG00000126233,ENSG00000129749,Slurp1,Chrna10,ENSMUSG00000022596,ENSMUSG00000066279,omnipath,omnipath
SLURP2,CHRNB2,ENSG00000283992,ENSG00000160716,NA,Chrnb2,NA,ENSMUSG00000027950,omnipath,omnipath
SLURP2,CHRNB4,ENSG00000283992,ENSG00000117971,NA,Chrnb4,NA,ENSMUSG00000035200,omnipath,omnipath
SLURP2,CHRNA3,ENSG00000283992,ENSG00000080644,NA,Chrna3,NA,ENSMUSG00000032303,omnipath,omnipath
SLURP2,CHRNA4,ENSG00000283992,ENSG00000101204,NA,Chrna4,NA,ENSMUSG00000027577,omnipath,omnipath
SLURP2,CHRNA7,ENSG00000283992,ENSG00000282088,NA,NA,NA,NA,omnipath,omnipath
SNX14,HTR6,ENSG00000135317,ENSG00000158748,Snx14,Htr6,ENSMUSG00000032422,ENSMUSG00000028747,omnipath,omnipath
SORL1,CNTFR,ENSG00000137642,ENSG00000122756,Sorl1,Cntfr,ENSMUSG00000049313,ENSMUSG00000028444,omnipath,omnipath
SOST,LRP6,ENSG00000167941,ENSG00000070018,Sost,Lrp6,ENSMUSG00000001494,ENSMUSG00000030201,omnipath,omnipath
SOST,LRP5,ENSG00000167941,ENSG00000162337,Sost,Lrp5,ENSMUSG00000001494,ENSMUSG00000024913,omnipath,omnipath
SOST,LRP4,ENSG00000167941,ENSG00000134569,Sost,Lrp4,ENSMUSG00000001494,ENSMUSG00000027253,omnipath,omnipath
SOSTDC1,LRP6,ENSG00000171243,ENSG00000070018,Sostdc1,Lrp6,ENSMUSG00000036169,ENSMUSG00000030201,omnipath,omnipath
SOSTDC1,LRP4,ENSG00000171243,ENSG00000134569,Sostdc1,Lrp4,ENSMUSG00000036169,ENSMUSG00000027253,omnipath,omnipath
SOSTDC1,LRP5,ENSG00000171243,ENSG00000162337,Sostdc1,Lrp5,ENSMUSG00000036169,ENSMUSG00000024913,omnipath,omnipath
SPAG11B,GPR55,ENSG00000164871,ENSG00000135898,Spag11b,Gpr55,ENSMUSG00000059463,ENSMUSG00000049608,omnipath,omnipath
SPARC,ENG,ENSG00000113140,ENSG00000106991,Sparc,Eng,ENSMUSG00000018593,ENSMUSG00000026814,omnipath,omnipath
SPARC,FGFR1,ENSG00000113140,ENSG00000077782,Sparc,Fgfr1,ENSMUSG00000018593,ENSMUSG00000031565,omnipath,omnipath
SPINK1,NRSN1,ENSG00000164266,ENSG00000152954,Spink1,Nrsn1,ENSMUSG00000024503,ENSMUSG00000048978,omnipath,omnipath
SPINK1,EGFR,ENSG00000164266,ENSG00000146648,Spink1,Egfr,ENSMUSG00000024503,ENSMUSG00000020122,omnipath,omnipath
SPINT1,ST14,ENSG00000166145,ENSG00000149418,Spint1,St14,ENSMUSG00000027315,ENSMUSG00000031995,omnipath,omnipath
SPN,SIGLEC1,ENSG00000197471,ENSG00000088827,Spn,Siglec1,ENSMUSG00000051457,ENSMUSG00000027322,omnipath,omnipath
SPON1,APP,ENSG00000262655,ENSG00000142192,Spon1,App,ENSMUSG00000038156,ENSMUSG00000022892,omnipath,omnipath
SPON1,LRP8,ENSG00000262655,ENSG00000157193,Spon1,Lrp8,ENSMUSG00000038156,ENSMUSG00000028613,omnipath,omnipath
SPON2,ITGB2,ENSG00000159674,ENSG00000160255,Spon2,Itgb2l,ENSMUSG00000037379,ENSMUSG00000000157,omnipath,omnipath
SPON2,ITGAM,ENSG00000159674,ENSG00000169896,Spon2,Itgam,ENSMUSG00000037379,ENSMUSG00000030786,omnipath,omnipath
SPON2,ITGA4,ENSG00000159674,ENSG00000115232,Spon2,Itga4,ENSMUSG00000037379,ENSMUSG00000027009,omnipath,omnipath
SPON2,ITGA5,ENSG00000159674,ENSG00000161638,Spon2,Itga5,ENSMUSG00000037379,ENSMUSG00000000555,omnipath,omnipath
SPON2,ITGB1,ENSG00000159674,ENSG00000150093,Spon2,Itgb1,ENSMUSG00000037379,ENSMUSG00000025809,omnipath,omnipath
SPP1,CD44,ENSG00000118785,ENSG00000026508,Spp1,Cd44,ENSMUSG00000029304,ENSMUSG00000005087,omnipath,omnipath
SPP1,S1PR1,ENSG00000118785,ENSG00000170989,Spp1,S1pr1,ENSMUSG00000029304,ENSMUSG00000045092,omnipath,omnipath
SPP1,ITGA9,ENSG00000118785,ENSG00000144668,Spp1,Itga9,ENSMUSG00000029304,ENSMUSG00000039115,omnipath,omnipath
SPP1,ITGB1,ENSG00000118785,ENSG00000150093,Spp1,Itgb1,ENSMUSG00000029304,ENSMUSG00000025809,omnipath,omnipath
SPP1,ITGAV,ENSG00000118785,ENSG00000138448,Spp1,Itgav,ENSMUSG00000029304,ENSMUSG00000027087,omnipath,omnipath
SPP1,ITGB3,ENSG00000118785,ENSG00000259207,Spp1,Itgb3,ENSMUSG00000029304,ENSMUSG00000020689,omnipath,omnipath
SPP1,ITGB5,ENSG00000118785,ENSG00000082781,Spp1,Itgb5,ENSMUSG00000029304,ENSMUSG00000022817,omnipath,omnipath
SPP1,ITGA4,ENSG00000118785,ENSG00000115232,Spp1,Itga4,ENSMUSG00000029304,ENSMUSG00000027009,omnipath,omnipath
SPP1,ITGA8,ENSG00000118785,ENSG00000077943,Spp1,Itga8,ENSMUSG00000029304,ENSMUSG00000026768,omnipath,omnipath
SPP1,ITGA5,ENSG00000118785,ENSG00000161638,Spp1,Itga5,ENSMUSG00000029304,ENSMUSG00000000555,omnipath,omnipath
SPP1,ITGB6,ENSG00000118785,ENSG00000115221,Spp1,Itgb6,ENSMUSG00000029304,ENSMUSG00000026971,omnipath,omnipath
SPX,GALR2,ENSG00000134548,ENSG00000182687,Spx,Galr2,ENSMUSG00000071112,ENSMUSG00000020793,omnipath,omnipath
SPX,GALR3,ENSG00000134548,ENSG00000128310,Spx,Galr3,ENSMUSG00000071112,ENSMUSG00000114755,omnipath,omnipath
SST,SSTR1,ENSG00000157005,ENSG00000139874,Sst,Sstr1,ENSMUSG00000004366,ENSMUSG00000035431,omnipath,omnipath
SST,SSTR2,ENSG00000157005,ENSG00000180616,Sst,Sstr2,ENSMUSG00000004366,ENSMUSG00000047904,omnipath,omnipath
SST,SSTR3,ENSG00000157005,ENSG00000278195,Sst,Sstr3,ENSMUSG00000004366,ENSMUSG00000044933,omnipath,omnipath
SST,SSTR4,ENSG00000157005,ENSG00000132671,Sst,Sstr4,ENSMUSG00000004366,ENSMUSG00000037014,omnipath,omnipath
SST,SSTR5,ENSG00000157005,ENSG00000162009,Sst,Sstr5,ENSMUSG00000004366,ENSMUSG00000050824,omnipath,omnipath
ST14,PLAU,ENSG00000149418,ENSG00000122861,St14,Plau,ENSMUSG00000031995,ENSMUSG00000021822,omnipath,omnipath
ST14,BTN3A1,ENSG00000149418,ENSG00000026950,St14,Btnl12,ENSMUSG00000031995,ENSMUSG00000108763,omnipath,omnipath
ST6GAL1,CD22,ENSG00000073849,ENSG00000012124,St6gal1,Cd22,ENSMUSG00000022885,ENSMUSG00000030577,omnipath,omnipath
ST6GAL1,EGFR,ENSG00000073849,ENSG00000146648,St6gal1,Egfr,ENSMUSG00000022885,ENSMUSG00000020122,omnipath,omnipath
STX1A,CACNA1D,ENSG00000106089,ENSG00000157388,Stx1a,Cacna1d,ENSMUSG00000007207,ENSMUSG00000015968,omnipath,omnipath
STX1A,CACNA1B,ENSG00000106089,ENSG00000148408,Stx1a,Cacna1b,ENSMUSG00000007207,ENSMUSG00000004113,omnipath,omnipath
SYT1,CACNA1C,ENSG00000067715,ENSG00000151067,Syt1,Cacna1c,ENSMUSG00000035864,ENSMUSG00000051331,omnipath,omnipath
SYT1,CACNA1E,ENSG00000067715,ENSG00000198216,Syt1,Cacna1e,ENSMUSG00000035864,ENSMUSG00000004110,omnipath,omnipath
SYT1,STX3,ENSG00000067715,ENSG00000166900,Syt1,Stx3,ENSMUSG00000035864,ENSMUSG00000041488,omnipath,omnipath
SYT1,SV2B,ENSG00000067715,ENSG00000185518,Syt1,Sv2b,ENSMUSG00000035864,ENSMUSG00000053025,omnipath,omnipath
SYT1,STX1A,ENSG00000067715,ENSG00000106089,Syt1,Stx1a,ENSMUSG00000035864,ENSMUSG00000007207,omnipath,omnipath
TAC1,TACR1,ENSG00000006128,ENSG00000115353,Tac1,Tacr1,ENSMUSG00000061762,ENSMUSG00000030043,omnipath,omnipath
TAC1,TACR2,ENSG00000006128,ENSG00000075073,Tac1,Tacr2,ENSMUSG00000061762,ENSMUSG00000020081,omnipath,omnipath
TAC1,TACR3,ENSG00000006128,ENSG00000169836,Tac1,Tacr3,ENSMUSG00000061762,ENSMUSG00000028172,omnipath,omnipath
TAC3,TACR1,ENSG00000166863,ENSG00000115353,Tac2,Tacr1,ENSMUSG00000025400,ENSMUSG00000030043,omnipath,omnipath
TAC3,TACR2,ENSG00000166863,ENSG00000075073,Tac2,Tacr2,ENSMUSG00000025400,ENSMUSG00000020081,omnipath,omnipath
TAC3,TACR3,ENSG00000166863,ENSG00000169836,Tac2,Tacr3,ENSMUSG00000025400,ENSMUSG00000028172,omnipath,omnipath
TAC4,TACR2,ENSG00000176358,ENSG00000075073,Tac4,Tacr2,ENSMUSG00000020872,ENSMUSG00000020081,omnipath,omnipath
TAC4,TACR3,ENSG00000176358,ENSG00000169836,Tac4,Tacr3,ENSMUSG00000020872,ENSMUSG00000028172,omnipath,omnipath
TAC4,TACR1,ENSG00000176358,ENSG00000115353,Tac4,Tacr1,ENSMUSG00000020872,ENSMUSG00000030043,omnipath,omnipath
TAFA4,FPR1,ENSG00000163377,ENSG00000171051,Tafa4,Fpr1,ENSMUSG00000046500,ENSMUSG00000045551,omnipath,omnipath
TARM1,ROBO4,ENSG00000248385,ENSG00000154133,Tarm1,Robo4,ENSMUSG00000053338,ENSMUSG00000032125,omnipath,omnipath
TARM1,OSCAR,ENSG00000248385,ENSG00000170909,Tarm1,Oscar,ENSMUSG00000053338,ENSMUSG00000054594,omnipath,omnipath
TCN1,CD320,ENSG00000134827,ENSG00000167775,NA,Cd320,NA,ENSMUSG00000002308,omnipath,omnipath
TCN2,LRP2,ENSG00000185339,ENSG00000081479,Tcn2,Lrp2,ENSMUSG00000020432,ENSMUSG00000027070,omnipath,omnipath
TCN2,CNR1,ENSG00000185339,ENSG00000118432,Tcn2,Cnr1,ENSMUSG00000020432,ENSMUSG00000044288,omnipath,omnipath
TCTN1,TMEM67,ENSG00000204852,ENSG00000164953,Tctn1,Tmem67,ENSMUSG00000038593,ENSMUSG00000049488,omnipath,omnipath
TCTN1,TMEM216,ENSG00000204852,ENSG00000187049,Tctn1,Tmem216,ENSMUSG00000038593,ENSMUSG00000024667,omnipath,omnipath
TCTN1,TCTN3,ENSG00000204852,ENSG00000119977,Tctn1,Tctn3,ENSMUSG00000038593,ENSMUSG00000025008,omnipath,omnipath
TCTN1,TCTN2,ENSG00000204852,ENSG00000168778,Tctn1,Tctn2,ENSMUSG00000038593,ENSMUSG00000118662,omnipath,omnipath
TCTN3,FCRL1,ENSG00000119977,ENSG00000163534,Tctn3,Fcrl1,ENSMUSG00000025008,ENSMUSG00000059994,omnipath,omnipath
CRIPTO,LRP5,ENSG00000241186,ENSG00000162337,Cripto,Lrp5,ENSMUSG00000032494,ENSMUSG00000024913,omnipath,omnipath
CRIPTO,LRP6,ENSG00000241186,ENSG00000070018,Cripto,Lrp6,ENSMUSG00000032494,ENSMUSG00000030201,omnipath,omnipath
CRIPTO,ACVR2A,ENSG00000241186,ENSG00000121989,Cripto,Acvr2a,ENSMUSG00000032494,ENSMUSG00000052155,omnipath,omnipath
CRIPTO,ACVR1B,ENSG00000241186,ENSG00000135503,Cripto,Acvr1b,ENSMUSG00000032494,ENSMUSG00000000532,omnipath,omnipath
CRIPTO,ACVR2B,ENSG00000241186,ENSG00000114739,Cripto,Acvr2b,ENSMUSG00000032494,ENSMUSG00000061393,omnipath,omnipath
CRIPTO,ACVR1C,ENSG00000241186,ENSG00000123612,Cripto,Acvr1c,ENSMUSG00000032494,ENSMUSG00000026834,omnipath,omnipath
CRIPTO,GPC1,ENSG00000241186,ENSG00000063660,Cripto,Gpc1,ENSMUSG00000032494,ENSMUSG00000034220,omnipath,omnipath
CRIPTO3,ACVR2A,ENSG00000225366,ENSG00000121989,Cripto,Acvr2a,ENSMUSG00000032494,ENSMUSG00000052155,nichenet_verschueren,nichenet_verschueren
TECTB,CEACAM8,ENSG00000119913,ENSG00000124469,Tectb,NA,ENSMUSG00000024979,NA,nichenet_verschueren,nichenet_verschueren
TEX101,SIGLEC8,ENSG00000131126,ENSG00000105366,Tex101,NA,ENSMUSG00000062773,NA,nichenet_verschueren,nichenet_verschueren
TF,TFR2,ENSG00000091513,ENSG00000106327,Trf,Tfr2,ENSMUSG00000032554,ENSMUSG00000029716,omnipath,omnipath
TF,TFRC,ENSG00000091513,ENSG00000072274,Trf,Tfrc,ENSMUSG00000032554,ENSMUSG00000022797,omnipath,omnipath
TFF1,MUC5AC,ENSG00000160182,ENSG00000215182,Tff1,Muc5ac,ENSMUSG00000024032,ENSMUSG00000037974,omnipath,omnipath
TFF1,FCRL4,ENSG00000160182,ENSG00000163518,Tff1,NA,ENSMUSG00000024032,NA,omnipath,omnipath
TFF2,CXCR4,ENSG00000160181,ENSG00000121966,Tff2,Cxcr4,ENSMUSG00000024028,ENSMUSG00000045382,omnipath,omnipath
TFPI,VLDLR,ENSG00000003436,ENSG00000147852,Tfpi,Vldlr,ENSMUSG00000027082,ENSMUSG00000024924,omnipath,omnipath
TFPI,LRP1,ENSG00000003436,ENSG00000123384,Tfpi,Lrp1,ENSMUSG00000027082,ENSMUSG00000040249,omnipath,omnipath
TFPI,SDC4,ENSG00000003436,ENSG00000124145,Tfpi,Sdc4,ENSMUSG00000027082,ENSMUSG00000017009,omnipath,omnipath
TFPI,F3,ENSG00000003436,ENSG00000117525,Tfpi,F3,ENSMUSG00000027082,ENSMUSG00000028128,omnipath,omnipath
TFPI,F10,ENSG00000003436,ENSG00000126218,Tfpi,F10,ENSMUSG00000027082,ENSMUSG00000031444,omnipath,omnipath
TG,TPO,ENSG00000042832,ENSG00000115705,Tg,Tpo,ENSMUSG00000053469,ENSMUSG00000020673,omnipath,omnipath
TG,ASGR1,ENSG00000042832,ENSG00000141505,Tg,Asgr1,ENSMUSG00000053469,ENSMUSG00000020884,omnipath,omnipath
TG,LRP2,ENSG00000042832,ENSG00000081479,Tg,Lrp2,ENSMUSG00000053469,ENSMUSG00000027070,omnipath,omnipath
TGFA,EGFR,ENSG00000163235,ENSG00000146648,Tgfa,Egfr,ENSMUSG00000029999,ENSMUSG00000020122,omnipath,omnipath
TGFA,ADAM17,ENSG00000163235,ENSG00000151694,Tgfa,Adam17,ENSMUSG00000029999,ENSMUSG00000052593,omnipath,omnipath
TGFA,ERBB4,ENSG00000163235,ENSG00000178568,Tgfa,Erbb4,ENSMUSG00000029999,ENSMUSG00000062209,omnipath,omnipath
TGFA,ERBB3,ENSG00000163235,ENSG00000065361,Tgfa,Erbb3,ENSMUSG00000029999,ENSMUSG00000018166,omnipath,omnipath
TGFA,ERBB2,ENSG00000163235,ENSG00000141736,Tgfa,Erbb2,ENSMUSG00000029999,ENSMUSG00000062312,omnipath,omnipath
TGFA,PTPRD,ENSG00000163235,ENSG00000153707,Tgfa,Ptprd,ENSMUSG00000029999,ENSMUSG00000028399,omnipath,omnipath
TGFB1,APP,ENSG00000105329,ENSG00000142192,Tgfb1,App,ENSMUSG00000002603,ENSMUSG00000022892,omnipath,omnipath
TGFB1,TGFBR2,ENSG00000105329,ENSG00000163513,Tgfb1,Tgfbr2,ENSMUSG00000002603,ENSMUSG00000032440,omnipath,omnipath
TGFB1,TGFBR3,ENSG00000105329,ENSG00000069702,Tgfb1,Tgfbr3,ENSMUSG00000002603,ENSMUSG00000029287,omnipath,omnipath
TGFB1,TGFBR1,ENSG00000105329,ENSG00000106799,Tgfb1,Tgfbr1,ENSMUSG00000002603,ENSMUSG00000007613,omnipath,omnipath
TGFB1,ITGB8,ENSG00000105329,ENSG00000105855,Tgfb1,Itgb8,ENSMUSG00000002603,ENSMUSG00000025321,omnipath,omnipath
TGFB1,ITGB6,ENSG00000105329,ENSG00000115221,Tgfb1,Itgb6,ENSMUSG00000002603,ENSMUSG00000026971,omnipath,omnipath
TGFB1,ENG,ENSG00000105329,ENSG00000106991,Tgfb1,Eng,ENSMUSG00000002603,ENSMUSG00000026814,omnipath,omnipath
TGFB1,ITGB3,ENSG00000105329,ENSG00000259207,Tgfb1,Itgb3,ENSMUSG00000002603,ENSMUSG00000020689,omnipath,omnipath
TGFB1,ACVRL1,ENSG00000105329,ENSG00000139567,Tgfb1,Acvrl1,ENSMUSG00000002603,ENSMUSG00000000530,omnipath,omnipath
TGFB1,ITGAV,ENSG00000105329,ENSG00000138448,Tgfb1,Itgav,ENSMUSG00000002603,ENSMUSG00000027087,omnipath,omnipath
TGFB1,ITGB1,ENSG00000105329,ENSG00000150093,Tgfb1,Itgb1,ENSMUSG00000002603,ENSMUSG00000025809,omnipath,omnipath
TGFB1,SDC2,ENSG00000105329,ENSG00000169439,Tgfb1,Sdc2,ENSMUSG00000002603,ENSMUSG00000022261,omnipath,omnipath
TGFB1,PDGFRA,ENSG00000105329,ENSG00000134853,Tgfb1,Pdgfra,ENSMUSG00000002603,ENSMUSG00000029231,omnipath,omnipath
TGFB2,TGFBR2,ENSG00000092969,ENSG00000163513,Tgfb2,Tgfbr2,ENSMUSG00000039239,ENSMUSG00000032440,omnipath,omnipath
TGFB2,TGFBR1,ENSG00000092969,ENSG00000106799,Tgfb2,Tgfbr1,ENSMUSG00000039239,ENSMUSG00000007613,omnipath,omnipath
TGFB2,TGFBR3,ENSG00000092969,ENSG00000069702,Tgfb2,Tgfbr3,ENSMUSG00000039239,ENSMUSG00000029287,omnipath,omnipath
TGFB2,ENG,ENSG00000092969,ENSG00000106991,Tgfb2,Eng,ENSMUSG00000039239,ENSMUSG00000026814,omnipath,omnipath
TGFB2,ACVR1,ENSG00000092969,ENSG00000115170,Tgfb2,Acvr1,ENSMUSG00000039239,ENSMUSG00000026836,omnipath,omnipath
TGFB2,ACVR1B,ENSG00000092969,ENSG00000135503,Tgfb2,Acvr1b,ENSMUSG00000039239,ENSMUSG00000000532,omnipath,omnipath
TGFB2,ACVR1C,ENSG00000092969,ENSG00000123612,Tgfb2,Acvr1c,ENSMUSG00000039239,ENSMUSG00000026834,omnipath,omnipath
TGFB3,TGFBR2,ENSG00000119699,ENSG00000163513,Tgfb3,Tgfbr2,ENSMUSG00000021253,ENSMUSG00000032440,omnipath,omnipath
TGFB3,TGFBR1,ENSG00000119699,ENSG00000106799,Tgfb3,Tgfbr1,ENSMUSG00000021253,ENSMUSG00000007613,omnipath,omnipath
TGFB3,TGFBR3,ENSG00000119699,ENSG00000069702,Tgfb3,Tgfbr3,ENSMUSG00000021253,ENSMUSG00000029287,omnipath,omnipath
TGFB3,ENG,ENSG00000119699,ENSG00000106991,Tgfb3,Eng,ENSMUSG00000021253,ENSMUSG00000026814,omnipath,omnipath
TGFB3,ITGB3,ENSG00000119699,ENSG00000259207,Tgfb3,Itgb3,ENSMUSG00000021253,ENSMUSG00000020689,omnipath,omnipath
TGFB3,ACVRL1,ENSG00000119699,ENSG00000139567,Tgfb3,Acvrl1,ENSMUSG00000021253,ENSMUSG00000000530,omnipath,omnipath
TGFB3,ITGB6,ENSG00000119699,ENSG00000115221,Tgfb3,Itgb6,ENSMUSG00000021253,ENSMUSG00000026971,omnipath,omnipath
TGFB3,ACVR1C,ENSG00000119699,ENSG00000123612,Tgfb3,Acvr1c,ENSMUSG00000021253,ENSMUSG00000026834,omnipath,omnipath
TGFBI,ITGA7,ENSG00000120708,ENSG00000135424,Tgfbi,Itga7,ENSMUSG00000035493,ENSMUSG00000025348,omnipath,omnipath
TGFBI,ITGA1,ENSG00000120708,ENSG00000213949,Tgfbi,Itga1,ENSMUSG00000035493,ENSMUSG00000042284,omnipath,omnipath
TGFBI,ITGA3,ENSG00000120708,ENSG00000005884,Tgfbi,Itga3,ENSMUSG00000035493,ENSMUSG00000001507,omnipath,omnipath
TGFBI,ITGB1,ENSG00000120708,ENSG00000150093,Tgfbi,Itgb1,ENSMUSG00000035493,ENSMUSG00000025809,omnipath,omnipath
